element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
H,-0.0,-11716.26274742961,-7450.317857669532,2749.1658858239257,12667.675432188931,3223.829835501031,3219.3333719385423,-2157.7979221664486,-6195.245940988916,-13310.624462377373,-10776.0058709468,-3314.756547326237,7577.483771000508,17038.22699818823,13078.84776375132,-4297.822944763322,-511.0123537567641,-10921.082212051173,-11924.18709233177,-5016.155344184535,4722.176604175051,11142.613764426615,13492.651266056258,13851.996690386797,10734.53292089,10090.304141749004,5580.625700202909,4442.774791744899,-6.388447434301257,-2905.2416532390157,7021.607343145601,4738.492082425243,-4317.476685139741,-1439.7167533931818,3635.2059605359204,-7660.401608825563,-13590.383036502526,-5967.670656837545,6454.786154452842,15439.564272628271,17420.34859640134,18687.87265199076,15615.654894189855,10948.512148036838,7992.807623093444,1234.9657273111804,-2783.6089073933,-5950.731890043433,-527.2734480156691,3596.749824576027,-10250.385750368052,-4391.28125112508,17274.82822276812,-11980.003252817083,-11800.307499639777,-12287.252112855778,-5537.376088031046,-591.1596501864467,8342.086235465928,4959.3566288034635,4554.976719219376,4443.471099662326,3717.6128499654365,3447.4758109320683,3271.162318062544,2881.582242881609,2251.5856676553053,1700.0689619749503,1005.1744681233655,-373.6651731302234,2328.5823718519546,17479.121074467228,19347.446929778413,23820.255114524913,20249.67033617963,16784.667153826154,7375.193068808505,-3030.206060791311,-710.3268857296678,-4668.799074043297,-5468.00051171761,1205.9413066691823,-3921.1881960549126,-1931.98316215886,5712.350883028452,-9396.487653272778,-11868.329924603788,-9030.624358371466,-10212.349897400336,-6263.237472306861,-4556.587961579828,17325.520410918325,16126.890675193015,14297.051098039412,12495.522871537283
He,11716.26274742961,-0.0,4265.944889760077,14465.432095243239,24383.944271728353,14940.096449707062,14935.599617480359,9558.46482526316,5521.016806440694,-1594.3812734235803,940.2321176562737,8401.506200103371,19293.746518430118,28754.489745617837,24795.11051118093,7418.439802666288,11205.2665238417,795.1599886706358,-207.92869470892364,6700.107403245076,16438.439351604662,22858.87651185623,25208.914013485875,25568.259437816407,22450.79566831961,21806.566889178608,17296.88844763252,16159.03753917451,11709.89927766258,8811.048720139475,18737.870090575205,16454.787530665457,7398.789503242056,10276.565151058263,15351.468707965532,4055.82967012352,-1874.14545575179,5748.596054247073,18171.053862070523,27155.82702005788,29136.611343830955,30404.13539942038,27331.917641619464,22664.823782599942,19709.113828297133,12951.27080525316,8932.657803917555,5765.5349367015415,11189.043062998862,15313.090654434709,1465.881086346513,7324.985532862258,28991.094372136817,-263.7621574498511,-84.05712202794263,-571.0439917925509,6178.886659398566,11125.103097243164,20058.348982895543,16675.685965570883,16271.303172158494,16159.733847091935,15433.931758777164,15163.73855836168,14987.425065492152,14597.844990311216,13967.899311622554,13416.384113268947,12721.491494354797,11342.654919260902,14044.845119281565,29195.383821896838,31063.709677208022,35536.517861954526,31965.93308360924,28500.929901255764,19091.511728281726,8686.060737000194,11005.939052625965,7047.467763180003,6248.266111951276,12922.204054098793,7795.078754083053,9784.283640221702,17428.61363045806,2319.7788345564827,-152.0632042624868,2685.642124990782,1503.9166311743427,5453.029084751884,7159.678936083821,29041.78315834793,27843.153422622625,26013.313845469023,24211.785618966896
Li,7450.317857669532,-4265.944889760077,-0.0,10199.4861988511,20117.99837533621,10674.157131152268,10669.653721088223,5292.519935503085,1255.0719166806168,-5860.306604707841,-3325.6880132772685,4135.561310343296,15027.80162867004,24488.544855857763,20529.165621420852,3152.4949129062106,6939.321634081623,-3470.764354381639,-4473.869234662236,2434.162513484999,12172.494461844586,18592.93162209615,20942.969123725794,21302.31454805633,18184.85077855953,17540.621999418534,13030.943557872442,11893.092649414431,7443.954387902502,4545.082847171222,14471.925200815136,12188.84264090538,3132.8481899981975,6010.620261298185,11085.523818205453,-210.11233749475542,-6140.065178832991,1482.6544168130285,13905.110619061235,22889.882130297807,24870.666454070873,26138.190509660297,23065.972751859386,18398.878892839868,15443.168938537052,8685.325915493082,4666.715938189946,1499.5928210323364,6923.098173238786,11047.07435636525,-2800.060591996983,3059.043717173957,24725.151797094022,-4529.681114396972,-4349.999518193526,-4836.985820629343,1912.9417696384871,6859.158207483086,15792.404093135461,12409.741075810804,12005.35828239842,11893.788957331859,11167.986869017088,10897.7936686016,10721.480175732078,10331.900100551142,9701.954421862476,9150.43922350887,8455.546604594723,7076.710029500824,9778.900229521487,24929.43893213676,26797.764787447944,31270.572972194444,27699.988193849167,24234.98501149569,14825.566838521649,4420.1189021825185,6739.997954705297,2781.525637032474,1982.3241993581628,8656.259164338715,3529.1367853956153,5518.341871293481,13162.668740697984,-1946.1630229790846,-4418.034305133461,-1580.2996100798816,-2762.0251876112357,1187.0872387689149,2893.736748209274,24775.83826858786,23577.208532862547,21747.36895570895,19945.84072920682
Be,-2749.1658858239257,-14465.432095243239,-10199.4861988511,-0.0,9918.51217648511,474.6639496771045,470.16752223712115,-4906.963807990375,-8944.411826812842,-16059.790348201299,-13525.171756770727,-6063.922433150164,4828.3178851765815,14289.061112364305,10329.681877927396,-7046.988830587248,-3260.1621094118354,-13670.248097875101,-14673.352978155695,-7765.32123000846,1973.010718351125,8393.447878602692,10743.485380232334,11102.830804562873,7985.367035066073,7341.138255925074,2831.443897540885,1693.5923310563053,-2755.548392280976,-5654.37991311406,4272.441457321675,1989.3319925303856,-7066.636821731035,-4188.863482195274,886.0400747119943,-10409.56749464949,-16339.54892232645,-8716.830925663651,3705.6257816503116,12690.398386804343,14671.182710577414,15938.706766166837,12866.489008365928,8199.352084683082,5243.647556570979,-1514.1946153275424,-5532.769038811068,-8699.844320131122,-3276.3855702546734,847.5892578155016,-12999.545834604356,-7140.441286669466,14525.666776315347,-14729.165657943011,-14549.468421620908,-15036.417998679703,-8286.541973854972,-3340.3255360103726,5592.920349642002,2210.196365532139,1805.8164612848834,1694.2524066579829,968.4526062438746,698.2624850334884,521.9514365386494,132.3723438107383,-497.57457050819517,-1049.0911847551497,-1743.9856708495702,-3122.8176324053493,-420.5835139719708,14729.955188643302,16598.281043954485,21071.08922870099,17500.504450355704,14035.501268002226,4626.03301770185,-5779.366148357122,-3459.4870141669426,-7417.9592023121695,-8217.160656426604,-1543.2245791547439,-6670.348313333701,-4681.143306867857,2963.184997204525,-12145.647843372946,-14617.521096435397,-11779.78482454364,-12961.510043701412,-9012.39758575332,-7305.748105000861,14576.3545250944,13377.72478936909,11547.88521221549,9746.356985713355
B,-12667.675432188931,-24383.944271728353,-20117.99837533621,-9918.51217648511,-0.0,-9443.84782202129,-9448.34465424799,-14825.473354355376,-18862.921373177847,-25978.299894566306,-23443.68130313573,-15982.431979515168,-5090.1916611884235,4370.551565999299,411.1679949360502,-16965.49837695225,-13178.671655776841,-23588.7576442401,-24591.8625245207,-17683.830776373467,-7945.4988280138805,-1525.103490662764,824.9440281238113,1184.296712544731,-1933.163385924858,-2577.390246929556,-7087.0497319860215,-8224.900640444033,-12674.038901955963,-15572.889459479065,-5646.06808904333,-7929.150648953083,-16985.12827003551,-14107.373028560276,-9032.46947165301,-20328.077041014494,-26258.058468691455,-18635.345603597958,-6212.886820999196,2771.8888404393397,4752.601379795813,6020.138271109184,2947.9285850500273,-1719.16016939431,-4674.864686614508,-11432.66737436538,-15451.234513955647,-18618.353866496127,-13194.895116619678,-9070.92336639277,-22918.05853134883,-17058.90583895756,4607.138482515704,-24647.613763352692,-24467.90310335314,-24954.927545044713,-18205.060633192556,-13258.835082375377,-4325.61368547531,-7708.252214047658,-8112.635007460045,-8224.204332526604,-8950.006420841375,-9220.199621256863,-9396.513114126388,-9786.093189307323,-10416.038867995985,-10967.554066349594,-11662.446685263742,-13041.28326035764,-10339.093060336976,4811.4456422783,6679.724858464331,11152.579682335981,7581.933843557899,4116.935285301121,-5292.479196411672,-15697.822873695379,-13377.944821061967,-17336.412353667754,-18135.603426807218,-11461.734125519748,-16588.770162932746,-14599.583998033197,-6955.324549160479,-22064.162199386283,-24536.034076100477,-21698.3000549134,-22879.928961607064,-18930.801661744525,-17224.260737889654,4657.7423731151885,3459.1260853923463,1629.2955833149335,-172.22497487133168
C,-3223.829835501031,-14940.096449707062,-10674.157131152268,-474.6639496771045,9443.84782202129,-0.0,-4.501802346704119,-5381.627757667479,-9419.075776489946,-16534.454297878405,-13999.835706447833,-6538.586382827268,4353.653935499476,13814.397162687199,9855.01792825029,-7521.652780264353,-3734.8260590889395,-14144.912047552201,-15148.0169278328,-8239.985179685564,1498.34676867402,7918.783928925585,10268.821430555228,10628.166854885767,7510.70308538897,6866.47430624797,2356.775529749398,1218.9238987246893,-3230.2169093881826,-6129.043862791164,3797.7775076445705,1514.6637744484347,-7541.305413611099,-4663.527431872378,411.37612503489,-10884.231444326593,-16814.212872003558,-9191.499299705018,3230.9565696847035,12215.73443712724,14196.518760900315,15464.042816489731,12391.82505868882,7724.683409465825,4768.979559011051,-1988.8631278555665,-6007.437564630318,-9174.508269808226,-3751.049519931778,372.9207263819762,-13474.214515085177,-7615.109960246036,14050.999022503589,-15203.832119658264,-15024.136528828116,-15511.08194835681,-8761.205923532076,-3814.9894856874776,5118.2310724981335,1735.5279296971491,1331.1479450229347,1219.5839601732844,493.7841556862997,223.59417791459728,47.28256709140564,-342.29627942801955,-972.2429904112026,-1523.7596961059444,-2218.6541233703056,-3597.4376636697393,-895.2474636490751,14255.291238966196,16123.617094277377,20596.42527902388,17025.840500678598,13560.837318325124,4151.364322609085,-6254.02232146618,-3934.1555429666864,-7892.566756979854,-8691.757830119315,-2017.8885288318486,-7145.016853291933,-5155.81181939588,2488.521047527421,-12620.316297019435,-15092.159252777628,-12254.453119806336,-13436.083364919163,-9487.066129543877,-7780.416619981448,14101.690575417293,12903.060839691982,11073.221262538384,9271.693036036255
N,-3219.3333719385423,-14935.599617480359,-10669.653721088223,-470.16752223712115,9448.34465424799,4.501802346704119,-0.0,-5377.131294104989,-9414.579312927457,-16529.957834315916,-13995.339242885342,-6534.0899192647785,4358.150399061965,13818.893626249688,9859.51439181278,-7517.156316701863,-3730.3295955264516,-14140.415583989714,-15143.520464270312,-8235.488716123076,1502.843232236509,7923.2803924880745,10273.31789411772,10632.663318448254,7515.1995489514575,6870.97076981046,2361.277023612961,1223.4254380817429,-3225.7155062115407,-6124.547399228675,3802.273971207059,1519.1651193772939,-7536.800421708275,-4659.030968309889,415.8725885973786,-10879.734980764104,-16809.716408441065,-9186.997621439694,3235.458614244062,12220.230900689729,14201.0152244628,15468.539280052222,12396.321522251312,7729.185202884943,4773.480394018166,-1984.3615041745427,-6002.935939297024,-9170.011806245737,-3746.553056369289,377.4223486828281,-13469.712716211052,-7610.608162027353,14055.499770251914,-15199.333436615805,-15019.651295058606,-15506.58548479432,-8756.709459969588,-3810.493022124989,5122.732558776857,1740.0294656546603,1335.6495614086841,1224.085506776248,498.2856899816204,228.09573194741722,51.78443210427252,-337.79455765438144,-967.7413796246537,-1519.258141088643,-2214.152570731586,-3592.9412001072506,-890.7510000865864,14259.787702528685,16128.11355783987,20600.92174258637,17030.336964241087,13565.280513158292,4155.866137696568,-6249.533009927455,-3929.653914652897,-7888.126102798126,-8687.261366556828,-2013.3920652693598,-7140.515211679513,-5151.310186622754,2493.0175110899095,-12615.814743175575,-15087.687984069626,-12249.953747424492,-13431.676941318854,-9482.564486239276,-7775.915005523927,14106.187038979782,12907.557303254473,11077.717726100871,9276.189499598742
O,2157.7979221664486,-9558.46482526316,-5292.519935503085,4906.963807990375,14825.473354355376,5381.627757667479,5377.131294104989,-0.0,-4037.4480188224684,-11152.826540210925,-8618.207948780353,-1156.9586251597889,9735.281693166955,19196.024920354677,15236.64568591777,-2140.0250225968734,1646.8016985785387,-8763.284289884721,-9766.389170165321,-2858.357422018086,6879.9745263415,13300.411686593065,15650.449188222708,16009.794612553247,12892.330843056448,12248.10206391545,7738.423622369357,6600.572713911346,2151.4193786442115,-747.4338857517329,9179.405265312049,6896.322705402297,-2159.6688290069405,718.0908537137378,5793.003882702369,-5502.603686659115,-11432.585114336074,-3809.862366342665,8612.591663495405,17597.36219479472,19578.14651856779,20845.67057415721,17773.452816356305,13106.358957336779,10150.649003033972,3392.7733917285154,-625.8011399060146,-3792.9241225561514,1630.5343416753524,5754.55752964385,-8092.57769408228,-2233.4732911284686,19432.63397766546,-9822.199090342301,-9642.516467508492,-10129.45419068933,-3379.5781658645974,1566.6382719800017,10499.884157632378,7117.22114030772,6712.838346895333,6601.269021828775,5875.466933514002,5605.273733098516,5428.960240228992,5039.380165048057,4409.434486359392,3857.9192880057853,3163.026669091638,1784.1426150515395,4486.380294018404,19636.91899663368,21505.24485194486,25978.05303669136,22407.46825834608,18942.4650759926,9533.001053691181,-872.3980774291508,1447.4810978117791,-2510.9913065560136,-3310.192744230324,3363.7392288356305,-1763.3804022983727,225.8246173451968,7870.1488051949,-7238.679937580404,-9710.52381877238,-6872.816779627074,-8054.542132666075,-4105.429704819573,-2398.7801968455656,19483.318333084775,18284.68859735946,16454.849020205864,14653.320793703733
F,6195.245940988916,-5521.016806440694,-1255.0719166806168,8944.411826812842,18862.921373177847,9419.075776489946,9414.579312927457,4037.4480188224684,-0.0,-7115.378521388458,-4580.759929957886,2880.4893936626786,13772.729711989423,23233.47293917715,19274.093704740237,1897.422996225594,5684.250606771185,-4725.836271062256,-5728.941151342853,1179.0698498515285,10917.422545163967,17337.859705415533,19687.89720704518,20047.242631375713,16929.778861878916,16285.550082737918,11775.871641191825,10638.020732733814,6188.882471221886,3290.0183459946757,13216.853284134519,10933.770724224763,1877.7859403665532,4755.5483446175695,9830.45264194411,-1465.176938343928,-7395.137095513608,227.58994004153905,12650.043446040136,21634.810213617184,23615.594537390258,24883.118592979677,21810.90083517877,17143.806976159252,14188.097021856438,7430.253998812467,3411.651346748603,244.5282137027214,5668.026256558169,9792.009726521606,-4055.1250916193176,1803.9792444649877,23470.071883033084,-5784.748264079337,-5605.064026478922,-6092.050430301279,657.8564659412386,5604.086290802469,14537.332176454845,11154.669159130188,10750.286365717802,10638.717040651243,9912.91495233647,9642.721751920984,9466.40825905146,9076.828183870526,8446.88250518186,7895.367306828253,7200.474687914106,5821.6381128202065,8523.828312840873,23674.36701545614,25542.692870767325,30015.501055513832,26444.916277168548,22979.913094815074,13570.494921841031,3165.054429473549,5484.933320114129,1526.4610297028587,727.259592028548,7401.1872476580975,2274.072178123385,4263.277227499181,11907.596824017366,-3201.2277211970986,-5673.071937695371,-2835.3640215286146,-4017.0897971251834,-67.97739823023991,1638.6721386953266,23520.76635190724,22322.13661618193,20492.29703902833,18690.768812526203
Ne,13310.624462377373,1594.3812734235803,5860.306604707841,16059.790348201299,25978.299894566306,16534.454297878405,16529.957834315916,11152.826540210925,7115.378521388458,-0.0,2534.6185914305725,9995.867915051136,20888.10823337788,30348.851460565602,26389.47222612869,9012.801517614052,12799.628238789464,2389.542250326202,1386.4496911779365,8294.46911819284,18032.801066552423,24453.238226803987,26803.27572843364,27162.62115276417,24045.15738326737,23400.93550343361,18891.256100251638,17753.404253654502,13304.260992610343,10405.41043508724,20332.231805522973,18049.14924561322,8993.171624530793,11870.926866006028,16945.830422913295,5650.222853551811,-279.7585741251496,7342.977890711932,19765.428776999444,28750.188735005642,30730.973058778716,31998.497114368132,28926.279356567233,24259.185497547704,21303.47554324489,14545.632520200923,10527.065380610657,7359.946028070178,12783.404777946627,16907.452369382474,3060.262744818772,8919.367181229598,30585.45951852738,1330.6366975394947,1510.323508702191,1023.3372816310286,7773.248374346328,12719.464812190927,21652.7106978433,18270.047680518644,17865.664887106257,17754.095562039704,17028.293473724927,16758.100273309446,16581.786780439917,16192.206705258983,15562.261026570319,15010.74582821671,14315.853209302562,12937.016634208663,15639.20542097122,30789.745536844603,32658.071392155784,37130.87957690228,33560.294798557006,30095.29161620353,20685.87344322949,10280.442589416933,12600.355073504337,8641.88754089855,7842.6964677590895,14516.565769046554,9389.459827730785,11378.715896533107,19022.975345405826,3914.158972315028,1442.2887270132162,4280.063208803511,3098.2979045979237,7047.410695882196,8754.060115139195,30636.1448732957,29437.515137570386,27607.67556041679,25806.147333914654
